"Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","gamalt","A","worms","Nfm"
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","E4C",1,2016,4,"E4",4,"Abra nitida","141435",141435,33
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","E4B",5,2017,4,"E4",20,"Abra nitida","141435",141435,167
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","E4A",1,2016,1,"E4",1,"Abra nitida","141435",141435,8
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","C4B",2,2017,4,"C4",8,"Abra nitida","141435",141435,67
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","A7C",5,2017,4,"A7",20,"Abra nitida","141435",141435,167
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","B8C",10,2016,4,"B8",40,"Abra nitida","141435",141435,333
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","E4A",1,2017,4,"E4",4,"Abra nitida","141435",141435,33
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","B5",1,1999,1,"B5",1,"Abra nitida","141435",141435,44
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","A7",1,1999,1,"A7",1,"Abra nitida","141435",141435,44
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,"Abra nitida","E4C",4,2017,4,"E4",16,"Abra nitida","141435",141435,133
