"matched_taxon_name","Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","gamalt","A","worms","Nfm","Major Group","Family code","Species code","Taxon name","Food Source","Motility","Habit","Om/Ca/He","Food size/type","FeedMode","Feeding guild"
"Acmaeidae","Animalia","Mollusca","Gastropoda","Patellogastropoda","","","","","Lottioidea","Acmaeidae","Acmaea","Acmaea testudinalis","","","","","","","","","","","","Acmaea testudinalis","B0A",1,2014,1,"B0",1,"Acmaea testudinalis","153536",153536,8,"MOGA","0480","0480","Acmaeidae indet.","SR","M","F","He","alg","Gr","SR-He-mac"
"Ampharete","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharetinae","E3",14,1999,1,"E3",14,"Ampharete acutifrons","129775",129775,622,"POSE","0242","0070","Ampharete spp.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharete","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharete","U1C",1,2013,1,"U1",1,"Ampharete sp","129155",129155,8,"POSE","0242","0070","Ampharete spp.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharete acutifrons","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharete acutifrons","E3B",1,2014,1,"E3",1,"Ampharete acutifrons","129775",129775,8,"POSE","0242","0040","Ampharete acutifrons","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharete acutifrons","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharete acutifrons","U1A",1,2013,1,"U1",1,"Ampharete acutifrons","129775",129775,8,"POSE","0242","0040","Ampharete acutifrons","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharetidae","B8B",1,2017,4,"B8",4,"Ampharete sp","129155",129155,33,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","","","","","","Terebelliformia","","","","","","","","Ampharetidae","E4C",1,2017,4,"E4",4,"Ampharetidae","981",981,33,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","","","","","","Terebelliformia","","","","","","","","Ampharetidae","A7C",1,2016,4,"A7",4,"Ampharetidae sp","981",981,33,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","","","Ampharetinae","","","Terebelliformia","","","","","","","","Ampharetidae","B8",1,1999,1,"B8",1,"Ampharetinae sp","152252",152252,44,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","","","Ampharetinae","","","Terebelliformia","","","","","","","","Ampharetidae","B5",4,1999,1,"B5",4,"Ampharetinae sp","152252",152252,178,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
"Ampharetidae","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","","","Ampharetinae","","","Terebelliformia","","","","","","","","Ampharetidae","C4",4,1999,1,"C4",4,"Ampharetinae sp","152252",152252,178,"POSE","0242","0242","Ampharetidae indet.","SR","D","T","Om","sed/pom/mic/dia","De","SR-De"
